#Temps	EA1

6.84E-5	-0.678160355426371
6.88E-5	-0.59332786500454
6.92E-5	-0.503505228087306
6.96E-5	-0.413682591170073
7E-5	-0.323859954252839
7.04E-5	-0.234037317335606
7.08E-5	-0.134234387427568
7.12E-5	-0.044411750510335
7.16E-5	0.0504010329023004
7.2E-5	0.140223669819534
7.24E-5	0.230046306736767
7.28E-5	0.309888650663197
7.32E-5	0.394721141085029
7.36E-5	0.464583192020655
7.4E-5	0.539435389451683
7.44E-5	0.604307293891907
7.48E-5	0.669179198332131
7.52E-5	0.724070809781551
7.56E-5	0.768982128240168
7.6E-5	0.813893446698785
7.64E-5	0.848824472166598
7.68E-5	0.878765351139009
7.72E-5	0.898725937120616
7.76E-5	0.90870623011142
7.8E-5	0.918686523102224
7.84E-5	0.918686523102224
7.88E-5	0.90870623011142
7.92E-5	0.898725937120616
7.96E-5	0.873775204643607
8E-5	0.853814618662
8.04E-5	0.818883593194187
8.08E-5	0.778962421230972
8.12E-5	0.734051102772355
8.16E-5	0.684149637818337
8.2E-5	0.634248172864318
8.24E-5	0.574366414919496
8.28E-5	0.514484656974673
8.32E-5	0.449612752534449
8.36E-5	0.384740848094225
8.4E-5	0.319868943654001
8.44E-5	0.245016746222973
8.48E-5	0.175154695287347
8.52E-5	0.105292644351721
8.56E-5	0.0354305934160948
8.6E-5	-0.0344314575195313
8.64E-5	-0.0993033619597554
8.68E-5	-0.16417526639998
8.72E-5	-0.234037317335606
8.76E-5	-0.293919075280428
8.8E-5	-0.348810686729848
8.84E-5	-0.403702298179269
8.88E-5	-0.453603763133287
8.92E-5	-0.498515081591904
8.96E-5	-0.543426400050521
9E-5	-0.573367279022932
9.04E-5	-0.608298304490745
9.08E-5	-0.633249036967754
9.12E-5	-0.658199769444764
9.16E-5	-0.678160355426371
9.2E-5	-0.683150501921773
9.24E-5	-0.693130794912577
9.28E-5	-0.693130794912577
9.32E-5	-0.683150501921773
9.36E-5	-0.678160355426371
9.4E-5	-0.658199769444764
9.44E-5	-0.643229329958558
9.48E-5	-0.618278597481549
9.52E-5	-0.588337718509138
9.56E-5	-0.558396839536726
9.6E-5	-0.518475667573512
9.64E-5	-0.478554495610297
9.68E-5	-0.438633323647082
9.72E-5	-0.393722005188465
9.76E-5	-0.338830393739045
9.8E-5	-0.293919075280428
9.84E-5	-0.244017610326409
9.88E-5	-0.189125998876989
9.92E-5	-0.13922453392297
9.96E-5	-0.0843329224735498
0.0001	-0.0294413110241294
0.0001004	0.0204601539298892
0.0001008	0.0703616188839078
0.0001012	0.120263083837926
0.0001016	0.170164548791945
0.000102	0.215075867250562
0.0001024	0.259987185709178
0.0001028	0.299908357672393
0.0001032	0.339829529635608
0.0001036	0.374760555103421
0.000104	0.404701434075832
0.0001044	0.434642313048244
0.0001048	0.459593045525253
0.0001052	0.469573338516057
0.0001056	0.494524070993066
0.000106	0.509494510479271
